(307117,0)
(45799.8,-84971.1)
(-135941,-98174)
(-90951.8,-31413.1)
(74021,0)
(-90951.8,31413.1)
(-135941,98174)
(45799.8,84971.1)
(406628,0)
(4304.52,11343.5)
(14796,-28854)
(-84072.5,-70624.5)
(-31700,0)
(-84072.5,70624.5)
(14796,28854)
(4304.51,-11343.5)
(417730,0)
(45449.5,70517.3)
(50262,-37924)
(-12875.5,-61856.7)
(98150,0)
(-12875.5,61856.7)
(50262,37924)
(45449.5,-70517.3)
(542360,0)
(5350.48,-22786.4)
(-21095,6485)
(-126738,69247.6)
(22966,0)
(-126738,-69247.6)
(-21095,-6485)
(5350.47,22786.4)
